,user,course,account,year,progress
1774,1908573,488508,3819,2019,100.0
1775,1908573,497028,3819,2019,13.48
1776,1908573,488504,3819,2019,0.56
1777,1990804,502148,3829,2020,61.15
1778,1990804,511039,3829,2020,16.67
1779,1629064,489242,3944,2019,39.46
1780,1629064,502612,3944,2020,45.86
1781,1629064,502608,3944,2020,33.23
1782,1671124,440942,3824,2017,58.5
1783,1894302,488475,3911,2019,15.58
1784,1894302,488462,3911,2019,38.87
1785,1894302,488467,3911,2019,93.77
1786,1894302,488472,3911,2019,51.83
1787,1863914,470901,3821,2018,43.88
1788,1863914,470909,3821,2018,100.0
1789,1863914,470898,3821,2018,100.0
1790,1863914,470895,3821,2018,38.42
1791,1863914,470897,3821,2018,36.89
1792,1863914,470900,3821,2018,100.0
1793,1863914,470902,3821,2018,24.01
1794,1863914,471058,3821,2018,29.25
1795,1874716,502831,3840,2020,7.5
1796,1864137,489076,3834,2019,100.0
1797,1864137,489170,3834,2019,100.0
1798,1864137,489090,3834,2019,99.38
1799,1992191,502569,3848,2020,100.0
1800,1547201,501944,3833,2020,49.33
1801,1547201,501874,3833,2020,5.44
1802,1547201,501886,3833,2020,41.39
1803,1852940,470268,3820,2018,100.0
1804,1852940,470287,3820,2018,100.0
1805,1165271,511033,3839,2020,100.0
1806,1165271,511040,3839,2020,100.0
1807,1165271,502760,3839,2020,100.0
1808,1165271,502743,3839,2020,72.22
1809,1860384,470951,3824,2018,78.91
1810,1851547,502221,3839,2020,29.57
1811,1807154,445908,3883,2017,96.78
1812,1807154,445897,3883,2017,0.29
1813,1852840,489069,3834,2019,100.0
1814,1852840,497292,3834,2019,16.58
1815,1852840,502022,3832,2020,8.44
1816,1890228,489251,3820,2019,100.0
1817,1989037,501959,3819,2020,19.95
1818,1989037,501962,3819,2020,7.49
1819,1989037,501911,3819,2020,25.0
1820,1989037,501911,3819,2020,25.0
1821,1989037,501963,3819,2020,0.03
1822,1918247,501898,3834,2020,25.0
1823,1918247,502129,3834,2020,73.21
1824,1840887,489256,3848,2019,100.0
1825,1778939,470565,3843,2018,90.23
1826,1826453,441051,3821,2017,2.9
1827,1826453,441052,3821,2017,17.12
1828,1826453,447426,3821,2017,32.79
1829,1897392,488474,3911,2019,84.43
1830,1897392,488475,3911,2019,16.34
1831,1897392,488472,3911,2019,74.77
1832,1897392,488464,3911,2019,38.68
1833,1897392,488462,3911,2019,34.88
1834,1897392,488469,3911,2019,44.47
1835,1897392,488475,3911,2019,16.34
1836,1756195,417892,3834,2016,43.36
1837,1587757,501868,3947,2020,27.78
1838,1626729,501909,3819,2020,25.0
1839,1626729,501979,3819,2020,88.88
1840,1626729,527922,3819,2020,31.08
1841,1626729,501977,3819,2020,47.7
1842,1987799,501930,3911,2020,58.92
1843,1987799,501921,3911,2020,50.0
1844,1987799,511034,3911,2020,16.67
1845,1879675,502750,3839,2020,27.02
1846,1830238,472576,3838,2018,74.43
1847,1447650,470569,3843,2018,99.15
1848,1447650,470570,3843,2018,0.14
1849,1447650,470573,3843,2018,4.52
1850,1849116,445906,3883,2017,100.0
1851,1586816,471203,3836,2018,99.9
1852,1860435,489124,3834,2019,6.44
1853,1858945,489384,3848,2018,78.95
1854,1864542,470095,3834,2018,1.47
1855,1852583,501868,3947,2020,22.22
1856,1801887,456171,3911,2017,0.99
1857,1727832,445908,3883,2017,96.47
1858,1727832,445897,3883,2017,0.17
1859,1727832,456171,3911,2017,0.97
1860,1898931,489223,3820,2019,15.03
1861,1898931,501894,3820,2020,16.67
1862,1994702,511040,3839,2020,15.85
1863,1700951,502017,3837,2020,12.66
1864,1700951,502021,3837,2020,2.0
1865,1852377,471202,3835,2018,55.95
1866,1852377,471202,3835,2018,55.95
1867,1993616,502119,3834,2020,30.28
1868,1925626,488778,3838,2019,19.74
1869,1759047,416664,3848,2016,78.12
1870,1759047,416663,3848,2016,7.74
1871,1896292,488474,3911,2019,100.0
1872,1896292,488475,3911,2019,40.1
1873,1896292,488472,3911,2019,79.36
1874,1896292,488464,3911,2019,87.83
1875,1896292,488462,3911,2019,72.97
1876,1896292,488469,3911,2019,100.0
1877,1896292,488475,3911,2019,40.1
1878,1896292,488467,3911,2019,93.33
1879,1989051,501869,3833,2020,0.06
1880,1869798,488778,3838,2019,60.49
1881,1869798,488788,3838,2019,70.03
1882,1729099,445906,3883,2017,66.55
1883,1799113,441005,3820,2017,35.34
1884,1799113,447108,3820,2017,99.06
1885,1799113,416936,3820,2016,38.78
1886,1799113,441021,3820,2017,20.4
1887,1799113,489124,3834,2019,46.75
1888,1799113,489069,3834,2019,83.39
1889,1869729,502858,3840,2020,13.68
1890,1805184,456171,3911,2017,1.0
1891,1998595,502119,3834,2020,39.14
1892,1573458,417162,3843,2016,3.55
1893,1648942,501894,3820,2020,8.33
1894,1648942,502161,3820,2020,34.96
1895,1993287,502569,3848,2020,95.4
1896,1984202,489124,3834,2019,100.0
1897,1984202,502115,3834,2020,100.0
1898,1688045,447430,3821,2017,39.12
1899,1984830,501932,3824,2020,51.67
1900,1984830,502362,3824,2020,87.78
1901,1984830,502363,3824,2020,15.19
1902,1594826,497292,3834,2019,12.68
1903,1839080,470897,3821,2018,36.89
1904,1839080,470901,3821,2018,43.88
1905,1839080,470902,3821,2018,17.93
1906,1839080,471058,3821,2018,29.95
1907,1994705,502119,3834,2020,9.1
1908,1703199,440996,3820,2017,6.98
1909,1998596,516172,3835,2020,18.15
1910,1852939,488462,3911,2019,56.18
1911,1852939,488469,3911,2019,50.01
1912,1852939,488475,3911,2019,12.06
1913,1852939,488472,3911,2019,51.83
1914,1603846,416730,3824,2016,99.82
1915,1603846,416753,3824,2016,100.0
1916,1895415,489059,3883,2019,66.66
1917,1895415,489074,3883,2019,62.66
1918,1895415,489112,3883,2019,17.14
1919,1895415,489074,3883,2019,62.66
1920,1989138,501962,3819,2020,26.0
